art;pr
421.1110905-10;98.82
421.1110905-30;58.56
421.1111220;1270.02
423.1110378-01;142.74
423.1110412;248.88
423.1110454-01;461.15999999999997
423.1110860-10;11780.32
423.1110860-20;11780.32
423.1110860-40;11780.32
423.1110860-50;11780.32
423.1110866;1230.98
423.1110893;1112.6399999999999
423.1110921;203.74
423.1110923;1104.1
423.1110924;120.78
423.1110925-10;822.28
423.1110927-20;1041.8799999999999
423.1110930;747.86
423.1110932;63.44
44.1106013-10;2027.6399999999999
44.1111181-04;1572.58
44.1111412-01;383.08
45.1011010;14076.36
455.1112020;1814.1399999999999
455.1112023;1191.94
455.1112116;442.86
4571429581;78.08
4571429582;104.92
4571429583;135.42
4571429584;141.52
4571429585;157.38
4571429586;131.76
4571429587;71.98
45 7142 9588;102.48
4571429589;102.48
47.1111015-10;39064.4
47.1111019;23722.899999999998
47.1111055-20;10535.92
47.1111075-10;5067.88
47.1111110;6873.48
47.1111110-11;6231.76
47.1111130-01;16049.1
47.1111137;115.89999999999999
47.1111137-01;98.82
47.1111140;4875.12
47.1111234-03;64.66
47.1111278;26.84
47.1111332;6158.5599999999995
47.1111344;10202.86
47.1111902-30;679.54
48.1106015-40;31474.78
48.1106020-40;8021.5
48.1106025;178.12
48.1106044-30;2303.36
48.1106047-21;12801.46
49.1111332;5368
53.1111049-05;967.4599999999999
53.1111130-52;14997.46
53.1111140-20;3436.74
53.1111263;580.72
53.1111344;15863.66
51.1112020-10;1568.92
51.1112024-10;1521.34
51.1112134-10;179.34
51.1112192-10;178.12
51.1112382-30;2175.2599999999998
60.1110060-02;1792.18
60.1110065;455.06
60.1110080;425.78
60.1110125-10;12434.24
60.1110129;2524.18
60.1110132;1096.78
60.1110220-02;129.32
60.1110223-02;955.26
60.1110263;547.78
60.1110263-20;1044.32
60.1110264;190.32
60.1110266;814.96
60.1110380-01;311.09999999999997
60.1110406-01;950.38
60.1110438;150.06
60.1110441-01;291.58
60.1110448;56.12
60.1110449;135.42
60.1110462;212.28
60.1110466;428.21999999999997
60.1110467-30;353.8
60.1110534;102.48
60.1111020-30;28057.559999999998
60.1111021-30;27518.32
60.1111027;102.48
60.1111034;208.62
60.1111035-10;279.38
60.1111045;540.46
60.1111060-04;433.09999999999997
60.1111062-12;239.12
60.1111086;56.12
60.1111113-10;152.5
60.1111118-20;370.88
60.1111136-04;1527.44
60.1111169-01;223.26
60.1111172-30;5131.32
60.1111180-11;794.22
60.1111182-11;686.86
