Номенклатура;Остатки
8423.1104370-10 Трубка дренажная (аналог);14
8423.1104370-10 Трубка дренажная ТМЗ;13
8423.1104370-20 Трубка дренажная (с наконечниками CAMOZZI);3
8423.1104410 Трубка подводящая к ТННД;
8423.1104440 Колодка;
8423.1108001 Механизми управления регулятором (к-т, без накладки 134);3
8423.1108001 Механизми управления регулятором в сборе;1
8423.1108050-10 Тяга рычага управления регулятором в сборе;3
8423.1108134-10 Накладка рычага;3
8423.1118220-20 Трубка подвода масла (ТМЗ);7
8423.1118322 Прокладка;4
8423.1170270-20 Крышка охладителя;3
8423.1170294-30 Бачок охладителя;2
8423.1170298-10 Прокладка бачка;1
8423.1170326-20 Кронштейн крепления охладителя;1
8423.1303104-10 Труба водяная правая;1
8423.1303130 Патрубок водяной коробки;4
8423.1303174 Патрубок;5
8423.1303276 Прокладка;4
8423.1303278-10 Патрубок (8423.1303278-11);1
8423.1303284-10 Трубка;
8423.1303284-13 Трубка (тонк.);1
8423.1303291 Патрубок охладителя;3
8423.1303296-10 Трубка соединительная (ТМЗ);
8423.1303296-13 Трубка соединительная;
8423.1303308 Патрубок отводящий (ТМЗ);3
8423.1303311 Прокладка патрубка;9
8423.1303312 Прокладка патрубка;9
8423.1307010-20 Насос водяной (ТМЗ) (он-же 8423.1307010-04);13
8423.1308012-01 Вентилятор;
8423.1308652 Ступица вентилятора;3
8423.1309010-10 Кожух вентилятора;2
8423.1309064 Кронштейн кожуха;3
8423.1309066 Кронштейн кожуха;3
8423.1309072 Кронштейн кожуха;3
8423.1309074 Кронштейн кожуха;3
8423.1309075 Втулка (кожуха вент.);8
8423.1319007-01 Установка УВГ;1
8423.3701774-01 Кронштейн генератора;3
8424.1003063 Кольцо уплотнительное 015-019-25 (25.3111.6063) (рез.);
8424.1003063 Кольцо уплотнительное 015-019-25 (25.3111.6063) (силикон);57
8424.1012011 Проставка фильтра масляного;
8424.1013620 Корпус радиатора (со шпильками);1
8424.1013694 Крышка радиатора передняя (ТМЗ);5
8424.1022826 Трубка топливная (ТМЗ);
8424.1022826-10 Трубка топливная (камоцци);13
8424.1104426-20 Трубка подводящая;4
8424.1115036 Прокладка патрубка (армиров.);
8424.1115036 Прокладка патрубка (армированная)  Т;8
8424.1115036 Прокладка патрубка (не армиров.);
8424.1115048 Рукав соединительный;7
8424.1115158 Втулка;
8424.1115158-03 Втулка (тонк.);
8424.1318030-01 Вал;2
8424.1318036 Втулка распорная;3
8424.1318150 Трубка подводящая;7
8424.3708800-10 Болт крепления стартера;13
